"Município","ibge","latitude","longitude","/Exportações/Total 2010 (US$ FOB)","/Exportações/Total 2011 (US$ FOB)","/Exportações/Total 2012 (US$ FOB)","/Exportações/Total 2013 (US$ FOB)","/Exportações/Total 2014 (US$ FOB)","/Exportações/Total 2015 (US$ FOB)","/Exportações/Total 2016 (US$ FOB)","/Exportações/Total 2017 (US$ FOB)","/Exportações/Total 2018 (US$ FOB)","/Exportações/Total 2019 (US$ FOB)","/Exportações/Total 2020 (US$ FOB)","/Exportações/Total 2021 (US$ FOB)"
"Getúlio Vargas","4308904","-27.891100000000","-52.229399999990","3.889.032","6.093.412","3.572.546","4.553.198","6.846.913","2.091.761","1.124.422","770.024","3.526.772","2.582.343","1.718.066","4.754.739"
"Giruá","4309001","-28.029699999990","-54.351700000000","-","-","31.088","-","-","-","-","-","-","-","-","5.760.378"
"Glorinha","4309050","-29.879799999990","-50.773400000000","3.891.219","4.172.842","4.837.693","4.733.351","6.810.081","6.943.643","12.992.441","15.715.630","7.954.235","6.975.583","7.311.257","8.324.897"
"Gramado","4309100","-29.373300000000","-50.876199999990","10.185.131","11.858.823","9.362.269","7.811.250","7.320.877","6.685.013","6.634.435","7.604.178","6.453.673","6.629.020","4.819.678","9.961.504"
"Gramado dos Loureiros","4309126","-27.442900000000","-52.914900000000","-","-","-","-","-","-","-","-","-","5.055","48.656","14.103"
"Gravataí","4309209","-29.941299999990","-50.986899999990","415.779.525","660.783.814","608.748.747","898.235.516","577.893.573","612.717.575","677.826.557","1.050.346.480","946.872.967","729.100.845","405.904.212","385.643.812"
"Guaíba","4309308","-30.108599999990","-51.323300000000","206.101.468","209.581.566","166.878.843","171.900.947","164.428.634","349.033.304","626.891.709","469.249.097","862.951.339","1.314.674.455","674.983.318","1.046.496.516"
"Guaporé","4309407","-28.839900000000","-51.889499999990","15.414.746","16.389.567","17.950.627","14.739.031","11.926.637","12.380.100","17.036.587","11.054.381","14.484.942","13.060.996","14.236.383","13.630.250"
"Guarani das Missões","4309506","-28.149100000000","-54.562899999990","27.863.319","23.083.737","10.726.515","33.021.589","22.663.883","16.168.301","393.650","5.951","-","22.424","-","-"
"Harmonia","4309555","-29.545600000000","-51.418500000000","-","-","-","-","-","-","-","13.214","-","1.296.005","2.429.566","2.639.463"
"Horizontina","4309605","-27.628200000000","-54.305300000000","180.727.688","206.863.307","129.010.589","183.264.328","143.610.621","93.639.837","87.282.754","140.364.618","98.766.762","66.884.098","61.621.808","93.593.164"
"Hulha Negra","4309654","-31.406700000000","-53.866700000000","74.731.031","121.794.795","115.879.126","116.851.708","127.399.367","117.065.849","96.010.707","97.124.772","106.631.720","101.685.118","106.721.838","115.023.095"
"Ibiraiaras","4309902","-28.374099999990","-51.637700000000","3.735.901","8.731.389","4.057.678","-","239.177","199.768","10.567.341","1.547.972","37.450","17.899","20.069","-"
"Ibirubá","4310009","-28.630199999990","-53.096100000000","21.942.871","40.352.327","73.146.518","80.629.035","44.972.776","31.737.664","14.917.070","14.234.544","14.375.059","6.986.937","12.030.785","13.260.973"
"Igrejinha","4310108","-29.569299999990","-50.791899999990","65.338.547","68.957.880","78.918.349","87.265.713","95.043.838","76.457.806","70.849.617","80.297.728","87.678.310","88.860.646","49.663.618","59.633.778"
"Ijuí","4310207","-28.388100000000","-53.920000000000","4.369.273","10.052.074","2.823.830","18.811.655","63.093.330","41.978.934","37.937.616","45.779.196","77.647.465","80.801.851","85.109.415","66.196.584"
"Ilópolis","4310306","-28.928200000000","-52.125799999990","-","-","-","-","-","-","3.500","-","-","47.239","7.668","11.237"
"Imigrante","4310363","-29.350800000000","-51.774700000000","1.580.773","2.005.841","1.928.718","1.726.453","1.536.153","1.859.626","3.041.589","8.996.565","7.946.192","4.982.270","6.002.636","9.490.686"
"Independência","4310405","-27.835400000000","-54.188600000000","323.343","257.221","646.631","519.918","378.900","315.861","300.581","528.957","358.012","415.637","184.770","357.202"
"Ipê","4310439","-28.817100000000","-51.285899999990","-","-","-","-","-","-","-","-","-","-","-","307.131"
"Ipiranga do Sul","4310462","-27.940400000000","-52.427100000000","-","-","-","-","-","-","-","-","-","-","10.799","4.932"
"Itaqui","4310603","-29.131000000000","-56.551499999990","9.233.798","16.542.555","9.302.055","7.196.367","15.862.805","11.510.749","8.848.701","5.408.671","7.882.232","11.182.171","16.030.154","12.996.046"
"Ivoti","4310801","-29.599499999990","-51.153300000000","24.231.547","21.510.454","28.659.792","42.392.544","51.196.788","37.050.661","28.993.166","36.343.058","34.441.123","35.320.082","33.861.048","52.966.793"
"Jacutinga","4310900","-27.729099999990","-52.537199999990","28.728","-","-","-","-","-","-","-","2.104.673","57.357","56.469","159.647"
"Jaguarão","4311007","-32.560400000000","-53.377000000000","3.848.636","5.415.644","3.484.252","5.779.791","9.137.746","6.571.340","6.595.824","3.084.488","3.302.024","6.028.868","12.358.113","11.166.549"
"Jaguari","4311106","-29.493600000000","-54.703000000000","732.829","1.697.489","1.218.830","2.138.993","2.282.609","1.881.209","2.207.009","2.655.146","2.049.613","698.037","285.417","320.419"
"Jaquirana","4311122","-28.881100000000","-50.363700000000","-","-","-","-","-","-","-","-","-","-","-","67.390"
"Jari","4311130","-29.292200000000","-54.223700000000","-","-","-","-","-","-","-","-","104.007","-","-","-"
"Jóia","4311155","-28.643500000000","-54.114100000000","-","-","4.370.499","22.151.790","12.882.934","8.468.530","-","-","242.683","-","76.443","-"
"Júlio de Castilhos","4311205","-29.229800000000","-53.677199999990","4.232.509","11.110.363","17.236.752","22.719.580","8.792.529","7.431.988","6.487.228","3.827.424","7.455.870","3.694.964","10.612.338","11.619.804"
"Lagoa Vermelha","4311304","-28.209299999990","-51.524799999990","14.850.051","18.303.025","16.357.736","21.640.598","20.647.997","19.996.650","16.801.656","15.952.077","15.847.124","14.075.151","15.743.275","31.268.933"
"Lajeado","4311403","-29.459099999990","-51.964399999990","73.407.752","123.022.963","109.307.520","94.297.341","90.785.580","80.603.303","69.016.689","84.113.151","92.087.235","89.744.983","67.413.458","95.316.435"
"Lavras do Sul","4311502","-30.807099999990","-53.893099999990","-","-","-","-","7.000","-","-","-","-","-","-","-"
"Liberato Salzano","4311601","-27.600999999990","-53.075299999990","-","-","391.428","2.076.956","796.486","818.425","459.375","393.750","914.375","897.865","2.052.609","2.786.434"
